Feature_Set,Model,Fold,Train_Accuracy,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Validation_ROC_AUC,Fit_Time_Seconds,Score_Time_Seconds
MRI,Gradient Boosting,4,1.0,0.5555555555555556,0.5,0.25,0.3333333333333333,0.6,0.06530141830444336,0.015981674194335938
MRI,Gradient Boosting,5,1.0,0.5555555555555556,0.5,0.25,0.3333333333333333,0.5,0.06943964958190918,0.015460014343261719
MRI,XGBoost,1,0.9736842105263158,0.3,0.0,0.0,0.0,0.3333333333333333,0.11941337585449219,0.025217294692993164
MRI,XGBoost,2,1.0,0.4,0.3333333333333333,0.5,0.4,0.625,0.08257055282592773,0.025197982788085938
MRI,XGBoost,3,1.0,0.6,0.5,0.25,0.3333333333333333,0.6666666666666666,0.08410882949829102,0.02444911003112793
MRI,XGBoost,4,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.75,0.07844710350036621,0.02448892593383789
MRI,XGBoost,5,1.0,0.4444444444444444,0.0,0.0,0.0,0.39999999999999997,0.08640837669372559,0.02241992950439453
MRI,Support Vector Machine,1,0.7105263157894737,0.4,0.3333333333333333,0.5,0.4,0.25,0.008525848388671875,0.020082712173461914
MRI,Support Vector Machine,2,0.7368421052631579,0.4,0.3333333333333333,0.5,0.4,0.4583333333333333,0.00892019271850586,0.019647598266601562
MRI,Support Vector Machine,3,0.7894736842105263,0.5,0.3333333333333333,0.25,0.2857142857142857,0.5833333333333333,0.006289005279541016,0.013698816299438477
MRI,Support Vector Machine,4,0.7435897435897436,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.7,0.006700038909912109,0.01576709747314453
MRI,Support Vector Machine,5,0.7435897435897436,0.5555555555555556,0.5,0.5,0.5,0.45,0.0068933963775634766,0.014707088470458984
Multimodal,Logistic Regression,1,1.0,0.3,0.0,0.0,0.0,0.5,0.015727996826171875,0.01892995834350586
Multimodal,Logistic Regression,2,1.0,0.5,0.3333333333333333,0.25,0.2857142857142857,0.45833333333333337,0.01653146743774414,0.023040056228637695
Multimodal,Logistic Regression,3,1.0,0.7,0.6,0.75,0.6666666666666666,0.7916666666666667,0.01750016212463379,0.020348072052001953
Multimodal,Logistic Regression,4,1.0,0.7777777777777778,1.0,0.5,0.6666666666666666,0.75,0.01703190803527832,0.020190954208374023
Multimodal,Logistic Regression,5,1.0,0.6666666666666666,0.6,0.75,0.6666666666666666,0.7000000000000001,0.01523447036743164,0.02008223533630371
Multimodal,Decision Tree,1,1.0,0.8,0.6666666666666666,1.0,0.8,0.8333333333333334,0.012096881866455078,0.02321004867553711
Multimodal,Decision Tree,2,1.0,0.6,0.5,0.75,0.6,0.625,0.010105371475219727,0.01947498321533203
Multimodal,Decision Tree,3,1.0,0.6,0.5,0.75,0.6,0.625,0.011877775192260742,0.024668216705322266
Multimodal,Decision Tree,4,1.0,0.5555555555555556,0.5,0.5,0.5,0.5499999999999999,0.013959169387817383,0.019286632537841797
Multimodal,Decision Tree,5,1.0,0.7777777777777778,1.0,0.5,0.6666666666666666,0.75,0.014433622360229492,0.023398399353027344
Multimodal,Random Forest,1,1.0,0.4,0.25,0.25,0.25,0.5,0.48985838890075684,0.17386698722839355
Multimodal,Random Forest,2,1.0,0.4,0.3333333333333333,0.5,0.4,0.4583333333333333,0.4774208068847656,0.13536381721496582
Multimodal,Random Forest,3,1.0,0.8,0.6666666666666666,1.0,0.8,0.8333333333333334,0.43303728103637695,0.1494004726409912
Multimodal,Random Forest,4,1.0,1.0,1.0,1.0,1.0,1.0,0.5742878913879395,0.1667320728302002
Multimodal,Random Forest,5,1.0,0.8888888888888888,1.0,0.75,0.8571428571428571,0.85,0.6173713207244873,0.1870720386505127
Multimodal,Gradient Boosting,1,1.0,0.4,0.25,0.25,0.25,0.625,0.12365245819091797,0.03128242492675781
Multimodal,Gradient Boosting,2,1.0,0.6,0.5,0.75,0.6,0.5833333333333334,0.12148857116699219,0.02020549774169922
Multimodal,Gradient Boosting,3,1.0,0.5,0.4,0.5,0.4444444444444444,0.75,0.07458043098449707,0.02100205421447754
Multimodal,Gradient Boosting,4,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.9,0.07769513130187988,0.02064228057861328
Multimodal,Gradient Boosting,5,1.0,0.7777777777777778,1.0,0.5,0.6666666666666666,0.8,0.09820127487182617,0.023182153701782227
Multimodal,XGBoost,1,1.0,0.6,0.5,0.5,0.5,0.5833333333333334,0.12402701377868652,0.03103041648864746
Multimodal,XGBoost,2,1.0,0.4,0.3333333333333333,0.5,0.4,0.41666666666666663,0.07740402221679688,0.027405977249145508
Multimodal,XGBoost,3,1.0,0.8,0.6666666666666666,1.0,0.8,0.9166666666666667,0.07837486267089844,0.0311887264251709
Multimodal,XGBoost,4,1.0,0.8888888888888888,1.0,0.75,0.8571428571428571,1.0,0.0868520736694336,0.02767014503479004
Multimodal,XGBoost,5,1.0,0.6666666666666666,1.0,0.25,0.4,0.9,0.07916831970214844,0.030846834182739258
Multimodal,Support Vector Machine,1,1.0,0.5,0.4,0.5,0.4444444444444444,0.5416666666666666,0.01680898666381836,0.026513099670410156
Multimodal,Support Vector Machine,2,0.9736842105263158,0.3,0.2,0.25,0.2222222222222222,0.45833333333333337,0.013809442520141602,0.020879507064819336
Multimodal,Support Vector Machine,3,1.0,0.7,0.5714285714285714,1.0,0.7272727272727273,0.7083333333333333,0.01044011116027832,0.020128488540649414
Multimodal,Support Vector Machine,4,0.9743589743589743,0.7777777777777778,0.6666666666666666,1.0,0.8,1.0,0.010855674743652344,0.019691944122314453
Multimodal,Support Vector Machine,5,0.9743589743589743,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.8,0.011289358139038086,0.02159857749938965
