Source_ID,Title,Organisation,Year,Source_Type,URL,Included
NICE_NG220,Multiple sclerosis in adults: management,NICE,2026,Clinical Guideline,https://www.nice.org.uk/guidance/ng220,Yes
NICE_QS108,Multiple sclerosis,NICE,2016,Quality Standard,https://www.nice.org.uk/guidance/qs108,Yes
