Candidate,Feature_Set,Repeat,Fold,Train_Accuracy,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Validation_ROC_AUC,Fit_Time_Seconds,Score_Time_Seconds
Multimodal XGBoost,Multimodal,3,4,1.0,0.8888888888888888,1.0,0.75,0.8571428571428571,1.0,0.06712555885314941,0.033443450927734375
Multimodal XGBoost,Multimodal,3,5,1.0,0.4444444444444444,0.3333333333333333,0.25,0.2857142857142857,0.65,0.07731914520263672,0.03122544288635254
Multimodal XGBoost,Multimodal,4,1,1.0,0.8,0.6666666666666666,1.0,0.8,0.7916666666666667,0.0720057487487793,0.025148391723632812
Multimodal XGBoost,Multimodal,4,2,1.0,0.9,1.0,0.75,0.8571428571428571,0.9166666666666667,0.11289501190185547,0.027800559997558594
Multimodal XGBoost,Multimodal,4,3,1.0,0.9,1.0,0.75,0.8571428571428571,1.0,0.06953620910644531,0.027581453323364258
Multimodal XGBoost,Multimodal,4,4,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714,0.75,0.07321548461914062,0.027708053588867188
Multimodal XGBoost,Multimodal,4,5,1.0,0.7777777777777778,0.75,0.75,0.75,0.8,0.07505512237548828,0.033264875411987305
Multimodal XGBoost,Multimodal,5,1,1.0,0.8,1.0,0.5,0.6666666666666666,0.875,0.07323217391967773,0.026505231857299805
Multimodal XGBoost,Multimodal,5,2,1.0,0.2,0.16666666666666666,0.25,0.2,0.375,0.07117938995361328,0.025127887725830078
Multimodal XGBoost,Multimodal,5,3,1.0,0.9,0.8,1.0,0.8888888888888888,0.9166666666666667,0.07706236839294434,0.028848886489868164
Multimodal XGBoost,Multimodal,5,4,1.0,0.7777777777777778,0.75,0.75,0.75,0.7,0.08563637733459473,0.026479244232177734
Multimodal XGBoost,Multimodal,5,5,1.0,0.7777777777777778,0.75,0.75,0.75,0.8,0.09498786926269531,0.02746129035949707
Multimodal XGBoost,Multimodal,6,1,1.0,0.5,0.4,0.5,0.4444444444444444,0.5,0.0865318775177002,0.029237985610961914
Multimodal XGBoost,Multimodal,6,2,1.0,0.8,1.0,0.5,0.6666666666666666,0.8333333333333333,0.08063197135925293,0.0296480655670166
Multimodal XGBoost,Multimodal,6,3,1.0,1.0,1.0,1.0,1.0,1.0,0.09259653091430664,0.02714991569519043
Multimodal XGBoost,Multimodal,6,4,1.0,0.7777777777777778,0.75,0.75,0.75,0.9500000000000001,0.07246971130371094,0.025670528411865234
Multimodal XGBoost,Multimodal,6,5,1.0,0.5555555555555556,0.5,0.75,0.6,0.6,0.07138705253601074,0.035385847091674805
Multimodal XGBoost,Multimodal,7,1,1.0,0.7,0.6666666666666666,0.5,0.5714285714285714,0.75,0.07072663307189941,0.02633500099182129
Multimodal XGBoost,Multimodal,7,2,1.0,0.7,0.6666666666666666,0.5,0.5714285714285714,0.75,0.1043250560760498,0.027306318283081055
Multimodal XGBoost,Multimodal,7,3,1.0,0.8,1.0,0.5,0.6666666666666666,0.9583333333333334,0.09357333183288574,0.02653217315673828
Multimodal XGBoost,Multimodal,7,4,1.0,0.5555555555555556,0.5,0.5,0.5,0.7,0.10332107543945312,0.028289794921875
Multimodal XGBoost,Multimodal,7,5,1.0,0.8888888888888888,0.8,1.0,0.8888888888888888,1.0,0.11459755897521973,0.03660941123962402
Multimodal XGBoost,Multimodal,8,1,1.0,0.9,0.8,1.0,0.8888888888888888,1.0,0.10000371932983398,0.026143312454223633
