Candidate,Feature_Set,Model_Stage,Repeat,Fold,Train_Accuracy,Validation_Accuracy,Validation_Precision,Validation_Recall,Validation_F1,Validation_ROC_AUC,Fit_Time_Seconds,Score_Time_Seconds
Multimodal XGBoost,Multimodal,Tuned,2,2,0.7631578947368421,0.6,0.0,0.0,0.0,0.6041666666666667,0.03830265998840332,0.02387070655822754
Multimodal XGBoost,Multimodal,Tuned,2,3,0.5789473684210527,0.6,0.0,0.0,0.0,0.875,0.03631711006164551,0.024318218231201172
Multimodal XGBoost,Multimodal,Tuned,2,4,0.5897435897435898,0.5555555555555556,0.0,0.0,0.0,0.9500000000000001,0.039446115493774414,0.02552938461303711
Multimodal XGBoost,Multimodal,Tuned,2,5,0.5897435897435898,0.5555555555555556,0.0,0.0,0.0,0.825,0.03936934471130371,0.025310277938842773
Multimodal XGBoost,Multimodal,Tuned,3,1,0.5789473684210527,0.6,0.0,0.0,0.0,0.8333333333333334,0.037546396255493164,0.025676250457763672
Multimodal XGBoost,Multimodal,Tuned,3,2,0.5789473684210527,0.6,0.0,0.0,0.0,1.0,0.036858320236206055,0.02342534065246582
Multimodal XGBoost,Multimodal,Tuned,3,3,0.7368421052631579,0.5,0.0,0.0,0.0,0.8333333333333334,0.03869175910949707,0.024123191833496094
Multimodal XGBoost,Multimodal,Tuned,3,4,0.5897435897435898,0.5555555555555556,0.0,0.0,0.0,1.0,0.03847837448120117,0.024965763092041016
Multimodal XGBoost,Multimodal,Tuned,3,5,0.8205128205128205,0.4444444444444444,0.3333333333333333,0.25,0.2857142857142857,0.6,0.03666186332702637,0.024161577224731445
Multimodal XGBoost,Multimodal,Tuned,4,1,0.5789473684210527,0.6,0.0,0.0,0.0,0.8541666666666666,0.03551840782165527,0.02367687225341797
