Candidate,Feature_Set,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__class_weight,param_classifier__penalty,param_classifier__solver,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc,param_classifier__max_depth,param_classifier__max_features,param_classifier__min_samples_leaf,param_classifier__min_samples_split,param_classifier__n_estimators,param_classifier__gamma,param_classifier__kernel,param_classifier__colsample_bytree,param_classifier__learning_rate,param_classifier__min_child_weight,param_classifier__reg_alpha,param_classifier__reg_lambda,param_classifier__scale_pos_weight,param_classifier__subsample
Clinical Logistic Regression,Clinical,0.009942770004272461,0.00018415226334910097,0.016729164123535156,0.0006497750866089644,1.1462107403425035,balanced,l2,liblinear,"{'classifier__C': np.float64(1.1462107403425035), 'classifier__class_weight': 'balanced', 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.8,0.4,0.8,0.7777777777777778,0.6666666666666666,0.6888888888888889,0.1526716803317126,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.25,0.6666666666666666,1.0,0.6,0.6533333333333333,0.24299062624810125,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.25,1.0,0.5,0.75,0.65,0.25495097567963926,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.25,0.8,0.6666666666666666,0.6666666666666666,0.6266666666666667,0.19510680835549196,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.45833333333333337,0.7916666666666667,0.7,0.7000000000000001,0.68,0.1160220285597141,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,
Clinical Logistic Regression,Clinical,0.010208034515380859,0.0007276237489208914,0.01657419204711914,0.0007349140668356972,0.028888383623653185,balanced,l1,liblinear,"{'classifier__C': np.float64(0.028888383623653185), 'classifier__class_weight': 'balanced', 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.6,0.6,0.6,0.5555555555555556,0.5555555555555556,0.5822222222222221,0.02177324215807267,12,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5897435897435898,0.5897435897435898,0.5832658569500675,0.005289046678074334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,0.5,0.5,0.5,0.5,0.5,0.5,0.0,,,,,,,,,,,,,,
Clinical Logistic Regression,Clinical,0.009358739852905274,0.00041417721473011195,0.016714763641357423,0.00043349618263060027,0.19069966103000435,,l2,liblinear,"{'classifier__C': np.float64(0.19069966103000435), 'classifier__class_weight': None, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.9,0.4,0.8,0.7777777777777778,0.6666666666666666,0.7088888888888889,0.17132742459907896,5,0.9210526315789473,0.9736842105263158,0.9473684210526315,0.9230769230769231,0.9230769230769231,0.9376518218623483,0.02046037047529275,0.8,0.25,0.6666666666666666,1.0,0.6666666666666666,0.6766666666666666,0.24576411454889013,4,0.9333333333333333,0.9411764705882353,0.9375,0.9333333333333333,0.9333333333333333,0.9357352941176471,0.0031631893735101215,1.0,0.25,1.0,0.5,0.5,0.65,0.30000000000000004,5,0.875,1.0,0.9375,0.875,0.875,0.9125,0.049999999999999996,0.8888888888888888,0.25,0.8,0.6666666666666666,0.5714285714285714,0.6353968253968254,0.22133815073667112,5,0.9032258064516129,0.9696969696969697,0.9375,0.9032258064516129,0.9032258064516129,0.9233748778103618,0.02669535728730157,0.8333333333333334,0.5416666666666667,0.7083333333333334,1.0,0.75,0.7666666666666667,0.15046225071056488,5,0.9772727272727273,0.9943181818181819,0.9857954545454546,0.9836956521739131,0.9836956521739131,0.9849555335968379,0.0054875270264485585,,,,,,,,,,,,,,
Clinical Logistic Regression,Clinical,0.00941624641418457,0.00019042291164951986,0.017873859405517577,0.001777207020087985,0.009962513222055111,,l2,liblinear,"{'classifier__C': np.float64(0.009962513222055111), 'classifier__class_weight': None, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.9,0.4,0.8,0.8888888888888888,0.7777777777777778,0.7533333333333333,0.18303342472865777,3,0.7631578947368421,0.8947368421052632,0.8157894736842105,0.7692307692307693,0.8461538461538461,0.8178137651821862,0.04913652282898386,0.8,0.25,0.6666666666666666,1.0,1.0,0.7433333333333334,0.2772083051505572,2,0.7333333333333333,0.875,0.8,0.7333333333333333,0.8571428571428571,0.7997619047619048,0.059630380788027605,1.0,0.25,1.0,0.75,0.5,0.7,0.291547594742265,3,0.6875,0.875,0.75,0.6875,0.75,0.75,0.06846531968814576,0.8888888888888888,0.25,0.8,0.8571428571428571,0.6666666666666666,0.6925396825396825,0.23396825396825394,3,0.7096774193548387,0.875,0.7741935483870968,0.7096774193548387,0.8,0.7737096774193548,0.0618892636677486,0.875,0.5416666666666667,0.7916666666666667,1.0,0.9,0.8216666666666667,0.154973115948111,3,0.9289772727272727,0.9715909090909091,0.9460227272727273,0.9130434782608696,0.9347826086956521,0.9388833992094862,0.019511025330251987,,,,,,,,,,,,,,
Clinical Logistic Regression,Clinical,0.010583877563476562,0.0014430248761910795,0.01679220199584961,0.0008821989586430233,0.9163741808778786,,l1,liblinear,"{'classifier__C': np.float64(0.9163741808778786), 'classifier__class_weight': None, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.8,0.3,0.8,0.7777777777777778,0.5555555555555556,0.6466666666666667,0.1963116695587358,8,0.9210526315789473,0.9736842105263158,0.8947368421052632,0.8974358974358975,0.9230769230769231,0.9219973009446694,0.028354857660429028,0.75,0.2,0.6666666666666666,1.0,0.5,0.6233333333333333,0.26616619703569505,8,0.9333333333333333,0.9411764705882353,0.875,0.875,0.9333333333333333,0.9115686274509803,0.02999519377109654,0.75,0.25,1.0,0.5,0.75,0.65,0.25495097567963926,5,0.875,1.0,0.875,0.875,0.875,0.9,0.049999999999999996,0.75,0.2222222222222222,0.8,0.6666666666666666,0.6,0.6077777777777778,0.20462552367256537,7,0.9032258064516129,0.9696969696969697,0.875,0.875,0.9032258064516129,0.9052297165200391,0.03461713322927536,0.7916666666666667,0.45833333333333337,0.7083333333333334,0.7,0.8,0.6916666666666667,0.12371562373263757,6,0.9801136363636362,0.9943181818181819,0.9857954545454546,0.9836956521739131,0.983695652173913,0.9855237154150197,0.0047617027887205815,,,,,,,,,,,,,,
Clinical Logistic Regression,Clinical,0.01012105941772461,0.0002890805912936173,0.017981529235839844,0.001956436728605826,1.0907475835157696,,l1,liblinear,"{'classifier__C': np.float64(1.0907475835157696), 'classifier__class_weight': None, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.7,0.3,0.8,0.7777777777777778,0.5555555555555556,0.6266666666666667,0.1844042794286644,9,0.9210526315789473,0.9736842105263158,0.9210526315789473,0.9743589743589743,0.9487179487179487,0.9477732793522268,0.023694108838941554,0.6,0.2,0.6666666666666666,1.0,0.5,0.5933333333333334,0.2585429257288709,9,0.9333333333333333,0.9411764705882353,0.9333333333333333,1.0,1.0,0.9615686274509804,0.031509504982903,0.75,0.25,1.0,0.5,0.75,0.65,0.25495097567963926,5,0.875,1.0,0.875,0.9375,0.875,0.9125,0.049999999999999996,0.6666666666666666,0.2222222222222222,0.8,0.6666666666666666,0.6,0.5911111111111111,0.19555555555555554,9,0.9032258064516129,0.9696969696969697,0.9032258064516129,0.967741935483871,0.9333333333333333,0.93544477028348,0.029315188798421817,0.75,0.375,0.7500000000000001,0.6499999999999999,0.75,0.655,0.1452583904633395,11,0.9857954545454545,1.0,0.9914772727272727,0.9945652173913044,0.9945652173913044,0.9932806324110673,0.0046417714671684734,,,,,,,,,,,,,,
Clinical Logistic Regression,Clinical,0.012369108200073243,0.001654716939869408,0.019676780700683592,0.0011869576818149346,0.0021147447960615704,balanced,l1,liblinear,"{'classifier__C': np.float64(0.0021147447960615704), 'classifier__class_weight': 'balanced', 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.6,0.6,0.6,0.5555555555555556,0.5555555555555556,0.5822222222222221,0.02177324215807267,12,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5897435897435898,0.5897435897435898,0.5832658569500675,0.005289046678074334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,14,0.5,0.5,0.5,0.5,0.5,0.5,0.0,,,,,,,,,,,,,,
Clinical Logistic Regression,Clinical,0.011209726333618164,0.0006392770850465317,0.018817329406738283,0.0009808182489620305,67.32248920775338,balanced,l2,liblinear,"{'classifier__C': np.float64(67.32248920775338), 'classifier__class_weight': 'balanced', 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.7,0.4,0.8,0.4444444444444444,0.5555555555555556,0.5800000000000001,0.1511111111111111,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.25,0.6666666666666666,0.4,0.5,0.4966666666666667,0.15999999999999998,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.25,1.0,0.5,0.75,0.6,0.25495097567963926,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5714285714285714,0.25,0.8,0.4444444444444444,0.6,0.5331746031746032,0.1817612109832299,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.45833333333333337,0.8333333333333334,0.55,0.6000000000000001,0.6383333333333334,0.13576941236277534,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,
Clinical Logistic Regression,Clinical,0.011184167861938477,0.0005050583547849904,0.018681049346923828,0.0004147896780013185,0.03334792728637585,,l2,liblinear,"{'classifier__C': np.float64(0.03334792728637585), 'classifier__class_weight': None, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.9,0.4,0.8,0.8888888888888888,0.6666666666666666,0.731111111111111,0.185445742622445,4,0.7894736842105263,0.9210526315789473,0.868421052631579,0.8205128205128205,0.8717948717948718,0.854251012145749,0.0453991215922591,0.8,0.25,0.6666666666666666,1.0,0.6666666666666666,0.6766666666666666,0.24576411454889013,4,0.7857142857142857,0.8823529411764706,0.8666666666666667,0.7647058823529411,0.8666666666666667,0.833221288515406,0.0481713236881079,1.0,0.25,1.0,0.75,0.5,0.7,0.291547594742265,3,0.6875,0.9375,0.8125,0.8125,0.8125,0.8125,0.07905694150420949,0.8888888888888888,0.25,0.8,0.8571428571428571,0.5714285714285714,0.6734920634920634,0.23911927929468732,4,0.7333333333333333,0.9090909090909091,0.8387096774193549,0.7878787878787878,0.8387096774193549,0.821544477028348,0.058597355697520705,0.8333333333333334,0.5416666666666667,0.7500000000000001,1.0,0.85,0.795,0.1501480750607361,4,0.9460227272727272,0.9829545454545454,0.9573863636363636,0.9320652173913044,0.951086956521739,0.953903162055336,0.016751380025428662,,,,,,,,,,,,,,
Clinical Logistic Regression,Clinical,0.011629438400268555,0.000623486285078159,0.02186741828918457,0.002496626370820581,2.6373339933815254,,l2,liblinear,"{'classifier__C': np.float64(2.6373339933815254), 'classifier__class_weight': None, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.7,0.5,0.8,0.7777777777777778,0.6666666666666666,0.6888888888888889,0.1063420987911591,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.6,0.6533333333333333,0.2124983660067897,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.25,1.0,0.5,0.75,0.6,0.25495097567963926,10,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5714285714285714,0.2857142857142857,0.8,0.6666666666666666,0.6666666666666666,0.598095238095238,0.1723151676632174,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.75,0.45833333333333337,0.7916666666666667,0.6,0.7000000000000001,0.66,0.11941989411781904,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,
