Candidate,Feature_Set,Mean_Train_Accuracy,SD_Train_Accuracy,Mean_CV_Accuracy,SD_CV_Accuracy,Mean_CV_Precision,SD_CV_Precision,Mean_CV_Recall,SD_CV_Recall,Mean_CV_F1,SD_CV_F1,Mean_CV_ROC_AUC,SD_CV_ROC_AUC,Mean_Fit_Time_Seconds,Train_Validation_Accuracy_Gap
Clinical Random Forest,Clinical,0.8412,0.0365,0.7464,0.1612,0.6863,0.1817,0.785,0.2143,0.7193,0.1769,0.8303,0.1351,0.4536,0.0947
Clinical Logistic Regression,Clinical,0.7792,0.0446,0.7344,0.1699,0.679,0.2253,0.745,0.2499,0.6937,0.2101,0.8246,0.1374,0.0094,0.0448
Clinical Support Vector Machine,Clinical,0.5115,0.0835,0.5378,0.077,0.1778,0.2199,0.4,0.4949,0.2462,0.3045,0.8202,0.1289,0.0092,-0.0263
Multimodal XGBoost,Multimodal,0.6261,0.0945,0.5656,0.0488,0.048,0.1329,0.075,0.2273,0.0566,0.1624,0.8008,0.1449,0.0405,0.0605
